orbit,TN,FP,FN,TP,accuracy,recall,threshold
00002,3666,397,22,73,0.8992303992303993,0.7684210526315789,0.1
00004,3388,451,62,320,0.8784648187633263,0.837696335078534,0.1
00006,3742,247,74,215,0.9249649368863955,0.7439446366782007,0.1
00008,3239,481,25,488,0.880463028584928,0.9512670565302144,0.1
00010,2353,1017,132,728,0.7283687943262411,0.8465116279069768,0.1
00012,2904,432,0,879,0.8975088967971531,1.0,0.1
00014,3424,419,41,337,0.8910210850509358,0.8915343915343915,0.1
00016,2705,814,0,702,0.8071547026770908,1.0,0.1
00018,3344,901,0,0,0.7877502944640754,0.0,0.1
00020,3503,201,195,361,0.9070422535211268,0.6492805755395683,0.1
00030,3073,651,195,467,0.8071135430916553,0.7054380664652568,0.1
00045,3313,550,19,612,0.8733867378727191,0.9698890649762282,0.1
00090,1672,1256,73,1265,0.6884669479606188,0.945440956651719,0.1
00135,4241,838,79,620,0.841294565593631,0.8869814020028612,0.1
00180,2369,709,7,893,0.8200100553041729,0.9922222222222222,0.1
00225,1912,850,75,1021,0.7602384655261794,0.9315693430656934,0.1
00270,471,312,0,0,0.6015325670498084,0.0,0.1
00315,2063,1690,0,0,0.5496935784705569,0.0,0.1
00360,2166,297,0,0,0.879415347137637,0.0,0.1
00405,1610,1400,777,101,0.4400720164609053,0.11503416856492027,0.1
00450,3396,236,87,244,0.9184960888215998,0.7371601208459214,0.1
00495,1539,968,617,974,0.6132259638848219,0.612193588937775,0.1
00545,2525,229,768,756,0.7669471715755025,0.49606299212598426,0.1
00590,2668,683,589,353,0.7037037037037037,0.3747346072186836,0.1
00635,3689,173,119,42,0.9274173502361421,0.2608695652173913,0.1
00815,3305,199,233,91,0.8871473354231975,0.2808641975308642,0.1
01130,3451,98,99,120,0.9477176220806794,0.547945205479452,0.1
01175,2721,479,40,273,0.852263023057216,0.8722044728434505,0.1
01265,2810,433,0,0,0.866481652790626,0.0,0.1
01310,3466,173,59,40,0.9379347244515784,0.40404040404040403,0.1
01355,3233,277,17,343,0.924031007751938,0.9527777777777777,0.1
01400,3276,525,21,153,0.8626415094339622,0.8793103448275862,0.1
01445,3707,179,145,124,0.9220216606498195,0.46096654275092935,0.1
01490,2866,454,69,793,0.8749402199904353,0.919953596287703,0.1
02525,2774,873,127,204,0.7486173956762192,0.6163141993957704,0.1
02570,2579,607,103,419,0.8085221143473571,0.8026819923371648,0.1
02615,1315,1049,24,180,0.5821651090342679,0.8823529411764706,0.1
02660,466,377,0,0,0.5527876631079478,0.0,0.1
02705,1980,781,37,55,0.7132842621801613,0.5978260869565217,0.1
02750,2578,613,311,131,0.7456647398843931,0.29638009049773756,0.1
02795,3519,131,302,41,0.8915602304032056,0.119533527696793,0.1
02840,2876,476,332,249,0.7945588609204169,0.42857142857142855,0.1
02885,1647,1524,296,1051,0.5971668880035413,0.7802524127691166,0.1
00002,4041,22,46,49,0.9836459836459837,0.5157894736842106,0.3
00004,3810,29,173,209,0.9521440416962805,0.5471204188481675,0.3
00006,3965,24,177,112,0.9530154277699859,0.3875432525951557,0.3
00008,3618,102,95,418,0.9534609024332624,0.8148148148148148,0.3
00010,3111,259,254,606,0.8787234042553191,0.7046511627906977,0.3
00012,3214,122,14,865,0.9677342823250297,0.9840728100113766,0.3
00014,3807,36,151,227,0.9556977019663587,0.6005291005291006,0.3
00016,3269,250,106,596,0.9156597962568112,0.8490028490028491,0.3
00018,4037,208,0,0,0.9510011778563016,0.0,0.3
00020,3695,9,395,161,0.9051643192488263,0.289568345323741,0.3
00030,3565,159,407,255,0.870953032375741,0.3851963746223565,0.3
00045,3757,106,71,560,0.9606141522029372,0.8874801901743264,0.3
00090,2334,594,284,1054,0.7941865916549461,0.7877428998505231,0.3
00135,4954,125,214,485,0.9413291796469366,0.6938483547925608,0.3
00180,2914,164,177,723,0.9142785319255907,0.8033333333333333,0.3
00225,2407,355,273,823,0.8372213582166926,0.7509124087591241,0.3
00270,701,82,0,0,0.8952745849297573,0.0,0.3
00315,3012,741,0,0,0.8025579536370904,0.0,0.3
00360,2436,27,0,0,0.9890377588306942,0.0,0.3
00405,2296,714,812,66,0.6075102880658436,0.07517084282460136,0.3
00450,3615,17,196,135,0.9462528387585163,0.4078549848942598,0.3
00495,2084,423,1091,500,0.6305514885309907,0.3142677561282212,0.3
00545,2716,38,1155,369,0.7211313697989715,0.2421259842519685,0.3
00590,3198,153,838,104,0.7691590962031214,0.11040339702760085,0.3
00635,3859,3,149,12,0.9622172508078548,0.07453416149068323,0.3
00815,3499,5,320,4,0.9150992685475444,0.012345679012345678,0.3
01130,3545,4,200,19,0.945859872611465,0.0867579908675799,0.3
01175,3180,20,169,144,0.946199829205807,0.46006389776357826,0.3
01265,3197,46,0,0,0.9858156028368794,0.0,0.3
01310,3639,0,74,25,0.980203317281969,0.25252525252525254,0.3
01355,3449,61,94,266,0.9599483204134367,0.7388888888888889,0.3
01400,3657,144,54,120,0.950188679245283,0.6896551724137931,0.3
01445,3838,48,181,88,0.9448856799037304,0.3271375464684015,0.3
01490,3210,110,222,640,0.9206121472979436,0.7424593967517401,0.3
02525,3532,115,202,129,0.9203117144293614,0.38972809667673713,0.3
02570,3103,83,336,186,0.8870010787486515,0.3563218390804598,0.3
02615,2032,332,60,144,0.8473520249221184,0.7058823529411765,0.3
02660,670,173,0,0,0.7947805456702254,0.0,0.3
02705,2562,199,56,36,0.9106203995793901,0.391304347826087,0.3
02750,2951,240,411,31,0.8208092485549133,0.07013574660633484,0.3
02795,3650,0,343,0,0.914099674430253,0.0,0.3
02840,3204,148,503,78,0.8344774980930587,0.1342512908777969,0.3
02885,2532,639,757,590,0.6910137228862329,0.43801039346696363,0.3
00002,4063,0,72,23,0.9826839826839827,0.24210526315789474,0.5
00004,3832,7,231,151,0.9436152570480929,0.39528795811518325,0.5
00006,3977,12,207,82,0.9488078541374474,0.2837370242214533,0.5
00008,3706,14,204,309,0.9484998818804631,0.6023391812865497,0.5
00010,3309,61,421,439,0.8860520094562647,0.5104651162790698,0.5
00012,3294,42,70,809,0.9734282325029656,0.9203640500568828,0.5
00014,3840,3,243,135,0.9417199715707179,0.35714285714285715,0.5
00016,3437,82,280,422,0.9142383321487799,0.6011396011396012,0.5
00018,4182,63,0,0,0.9851590106007068,0.0,0.5
00020,3704,0,483,73,0.8866197183098592,0.13129496402877697,0.5
00030,3678,46,493,169,0.877108983128135,0.2552870090634441,0.5
00045,3845,18,204,427,0.9506008010680908,0.6767036450079239,0.5
00090,2676,252,498,840,0.8241912798874824,0.6278026905829597,0.5
00135,5051,28,322,377,0.9394254067151263,0.5393419170243204,0.5
00180,3066,12,346,554,0.9100050276520865,0.6155555555555555,0.5
00225,2653,109,450,646,0.8551062726801452,0.5894160583941606,0.5
00270,772,11,0,0,0.9859514687100894,0.0,0.5
00315,3470,283,0,0,0.924593658406608,0.0,0.5
00360,2463,0,0,0,1.0,0.0,0.5
00405,2620,390,836,42,0.6846707818930041,0.04783599088838269,0.5
00450,3632,0,242,89,0.9389351501387837,0.2688821752265861,0.5
00495,2431,76,1290,301,0.6666666666666666,0.1891891891891892,0.5
00545,2749,5,1284,240,0.6986909770920992,0.15748031496062992,0.5
00590,3305,46,886,56,0.7829023992546005,0.059447983014861996,0.5
00635,3862,0,152,9,0.9622172508078548,0.055900621118012424,0.5
00815,3504,0,324,0,0.9153605015673981,0.0,0.5
01130,3549,0,214,5,0.9432059447983014,0.0228310502283105,0.5
01175,3195,5,222,91,0.9353828636493026,0.29073482428115016,0.5
01265,3231,12,0,0,0.996299722479186,0.0,0.5
01310,3639,0,91,8,0.9756554307116105,0.08080808080808081,0.5
01355,3494,16,166,194,0.9529715762273901,0.5388888888888889,0.5
01400,3732,69,93,81,0.9592452830188679,0.46551724137931033,0.5
01445,3861,25,196,73,0.9468110709987966,0.27137546468401486,0.5
01490,3292,28,518,344,0.8694404591104734,0.3990719257540603,0.5
02525,3616,31,267,64,0.9250879839115134,0.1933534743202417,0.5
02570,3159,27,395,127,0.8861920172599784,0.24329501915708812,0.5
02615,2272,92,133,71,0.9123831775700935,0.3480392156862745,0.5
02660,753,90,0,0,0.8932384341637011,0.0,0.5
02705,2697,64,65,27,0.9547844374342797,0.29347826086956524,0.5
02750,3063,128,436,6,0.8447563996696945,0.013574660633484163,0.5
02795,3650,0,343,0,0.914099674430253,0.0,0.5
02840,3267,85,537,44,0.8418510043224002,0.0757314974182444,0.5
02885,2864,307,976,371,0.716024789729969,0.27542687453600595,0.5
00002,4063,0,90,5,0.9783549783549783,0.05263157894736842,0.7
00004,3838,1,279,103,0.9336650082918739,0.2696335078534031,0.7
00006,3981,8,235,54,0.9431977559607293,0.18685121107266436,0.7
00008,3718,2,256,257,0.9390503189227498,0.5009746588693957,0.7
00010,3330,40,522,338,0.8671394799054374,0.3930232558139535,0.7
00012,3334,2,221,658,0.9470937129300119,0.7485779294653014,0.7
00014,3843,0,320,58,0.9241885809049988,0.15343915343915343,0.7
00016,3495,24,445,257,0.8888888888888888,0.3660968660968661,0.7
00018,4226,19,0,0,0.9955241460541814,0.0,0.7
00020,3704,0,527,29,0.8762910798122066,0.052158273381294966,0.7
00030,3720,4,562,100,0.870953032375741,0.1510574018126888,0.7
00045,3860,3,315,316,0.9292389853137517,0.5007923930269413,0.7
00090,2860,68,737,601,0.8112986404125645,0.4491778774289985,0.7
00135,5073,6,415,284,0.9271374177916234,0.4062947067238913,0.7
00180,3077,1,494,406,0.8755656108597285,0.45111111111111113,0.7
00225,2726,36,616,480,0.8310005184033178,0.43795620437956206,0.7
00270,783,0,0,0,1.0,0.0,0.7
00315,3662,91,0,0,0.9757527311484147,0.0,0.7
00360,2463,0,0,0,1.0,0.0,0.7
00405,2800,210,855,23,0.7260802469135802,0.02619589977220957,0.7
00450,3632,0,268,63,0.9323744637900581,0.1903323262839879,0.7
00495,2499,8,1440,151,0.6466569058077111,0.09490886235072282,0.7
00545,2754,0,1362,162,0.6816269284712483,0.1062992125984252,0.7
00590,3337,14,910,32,0.7847658979734451,0.03397027600849257,0.7
00635,3862,0,156,5,0.9612229679343773,0.031055900621118012,0.7
00815,3504,0,324,0,0.9153605015673981,0.0,0.7
01130,3549,0,219,0,0.9418789808917197,0.0,0.7
01175,3200,0,251,62,0.9285510959294051,0.19808306709265175,0.7
01265,3239,4,0,0,0.9987665741597287,0.0,0.7
01310,3639,0,95,4,0.9745853397538791,0.04040404040404041,0.7
01355,3506,4,251,109,0.9341085271317829,0.30277777777777776,0.7
01400,3777,24,109,65,0.9665408805031447,0.3735632183908046,0.7
01445,3875,11,226,43,0.9429602888086642,0.15985130111524162,0.7
01490,3313,7,611,251,0.8522238163558106,0.29118329466357307,0.7
02525,3647,0,289,42,0.9273504273504274,0.1268882175226586,0.7
02570,3183,3,465,57,0.8737864077669902,0.10919540229885058,0.7
02615,2332,32,151,53,0.9287383177570093,0.25980392156862747,0.7
02660,798,45,0,0,0.9466192170818505,0.0,0.7
02705,2749,12,89,3,0.9645986680686996,0.03260869565217391,0.7
02750,3160,31,442,0,0.8698045692265346,0.0,0.7
02795,3650,0,343,0,0.914099674430253,0.0,0.7
02840,3320,32,546,35,0.8530383930841596,0.060240963855421686,0.7
02885,3088,83,1114,233,0.7350597609561753,0.17297698589458055,0.7
